feature,shap_importance_sum
original_firstorder_RobustMeanAbsoluteDeviation_005,0.034256611199999995
original_firstorder_10Percentile_005,0.034060014300000004
original_firstorder_Kurtosis_050,0.0334086206
original_firstorder_Kurtosis_016,0.033315259699999995
original_firstorder_Skewness_188,0.0331384993
original_glcm_Imc1_106,0.032838455499999995
original_firstorder_Skewness_144,0.03265706456
original_firstorder_Skewness_173,0.032114090229999996
original_glcm_ClusterShade_243,0.03149356706
original_firstorder_Skewness_227,0.0308781681
original_firstorder_10Percentile_120,0.030621114700000004
original_glcm_ClusterProminence_189,0.030612606840000004
original_firstorder_Range_001,0.029571301570000003
original_glcm_Correlation_172,0.0282486417
original_glcm_MaximumProbability_054,0.0280335805
original_firstorder_Skewness_001,0.027707217699999998
original_firstorder_InterquartileRange_001,0.027109455799999998
original_firstorder_Maximum_003,0.02683691397
original_firstorder_Uniformity_054,0.026825761600000005
original_firstorder_Kurtosis_033,0.026749810199999995
original_glcm_ClusterShade_080,0.026129227900000003
original_glcm_InverseVariance_048,0.0260678362
original_glcm_JointEnergy_060,0.02585589689
original_firstorder_Range_206,0.025729111220000003
original_glcm_Imc2_104,0.0255865048
original_firstorder_10Percentile_004,0.0251076553
original_firstorder_90Percentile_001,0.0250695865
original_glcm_SumEntropy_031,0.0249646282
original_firstorder_Uniformity_001,0.0246384161
original_firstorder_Skewness_074,0.0241957117
original_glcm_MaximumProbability_098,0.0238849135
original_glcm_Correlation_215,0.0233544023
original_firstorder_Kurtosis_005,0.023222780640000003
original_firstorder_Kurtosis_072,0.023096829900000004
original_firstorder_Kurtosis_074,0.022868416
original_glcm_Idn_051,0.02216602136
original_firstorder_10Percentile_002,0.021927036599999998
original_glcm_MCC_172,0.021415306
original_glcm_Idn_103,0.021273618660000004
original_firstorder_Skewness_143,0.02115063039
original_firstorder_Median_002,0.019986874359999997
original_glcm_Idmn_224,0.01916924324
original_firstorder_Minimum_104,0.018391838320000003
original_glcm_MCC_239,0.01836619045
original_glcm_Idn_085,0.01816364073
original_firstorder_Energy_006,0.016893114529999996
original_firstorder_Energy_001,0.01642566582
original_glcm_MaximumProbability_240,0.01640217797
original_glcm_Idmn_211,0.01631676233
original_firstorder_InterquartileRange_003,0.016297486960000003
original_glcm_ClusterShade_070,0.016209650840000003
original_firstorder_Entropy_003,0.0159317103
original_firstorder_Kurtosis_003,0.01552409613
original_glcm_Idmn_001,0.015326484100000003
original_firstorder_Entropy_002,0.015252287849999999
original_firstorder_Minimum_112,0.015172416800000001
original_glcm_Idn_168,0.01504927351
original_firstorder_Maximum_001,0.014642471399999999
original_firstorder_Minimum_094,0.014432353399999999
original_firstorder_Maximum_133,0.01320439147
original_firstorder_Maximum_018,0.013183094379999998
original_firstorder_Entropy_213,0.011964406399999999
original_firstorder_Skewness_084,0.011551100099999998
original_firstorder_Skewness_040,0.01115778656
original_firstorder_10Percentile_218,0.01044179329
original_glcm_Idmn_179,0.009184669719999998
original_glcm_Idmn_189,0.00914677021
original_firstorder_Maximum_002,0.00832850212
