feature,shap_importance
001,0.5103372492
002,0.169994404
003,0.11205627795999999
004,0.06689267030000001
007,0.20466690400000004
011,0.07074169770000001
036,0.7012981970000001
039,0.1305862054
040,0.5853692889000001
052,0.38095835850000004
054,0.074311493
057,0.05855771640000001
060,0.3141355195
062,0.2841826114
069,0.21727874400000002
076,0.5865777398999998
082,0.19530134700000001
088,0.107882386
097,0.42245673399999994
098,0.1562686004
106,0.09056930710000001
113,0.6505358002000001
116,0.037330418899999995
119,0.030357953099999998
120,0.0655950014
123,0.22383939249999998
124,0.23260536599999998
125,0.04313716980000001
129,0.2175091893
130,0.3799529879
131,0.28665306399999996
140,0.33312995600000006
143,0.173402136
155,0.43260336600000004
157,0.1535235329
160,0.439070603
162,0.2971777414
163,0.36577996399999996
164,0.1287510835
166,0.09448174070000001
171,0.0792553702
179,0.7055568179999999
185,0.837195022
188,0.3049528598
191,0.10489776859999998
198,0.15081891900000002
200,0.26452560299999994
216,4.257925576
219,0.1521051667
223,0.21390128199999997
225,0.39193325700000003
226,0.380816697
228,0.15958376200000002
230,0.19908787749999998
237,0.0827596343
