feature,shap_importance
1,0.3183837359899999
2,0.06549470093
3,0.07459020736
4,0.0251076552999999
5,0.09153940614
6,0.01689311453
7,0.005
8,0.005
9,0.005
10,0.005
11,0.005
12,0.0943384111
13,0.005
14,0.005
15,0.005
16,0.0333152597
17,0.2193692234
18,0.0979864004799999
19,0.005
20,0.005
21,0.005
22,0.005
23,0.005
24,0.005
25,0.005
26,0.005
27,0.005
28,0.1308813653
29,0.1013768116
30,0.005
31,0.0249646282
32,0.167615841
33,0.0267498102
34,0.04029407766
35,0.005
36,0.5988198855999999
37,0.005
38,0.005
39,0.0504453424
40,0.46264022956
41,0.005
42,0.005
43,0.005
44,0.005
45,0.005
46,0.005
47,0.1524090605
48,0.0260678362
49,0.005
50,0.1043441905999999
51,0.1235905599599999
52,0.1164257939
53,0.005
54,0.09356187365
55,0.005
56,0.005
57,0.005
58,0.005
59,0.1034369604
60,0.24188358829
61,0.1564267272999999
62,0.0522938254999999
63,0.0665397787
64,0.1806964535
65,0.005
66,0.0405216655
67,0.005
68,0.005
69,0.126294211
70,0.01620965084
71,0.005
72,0.1804582053
73,0.1101413835
74,0.0470641277
75,0.0478288468
76,0.1670239354
77,0.0917228064
78,0.3470415034
79,0.005
80,0.0261292279
81,0.005
82,0.005
83,0.005
84,0.0115511001
85,0.59507425073
86,0.005
87,0.005
88,0.0469043177
89,0.005
90,0.005
91,0.005
92,0.005
93,0.0954710255
94,0.1449700356999999
95,0.005
96,0.005
97,0.005
98,0.0238849135
99,0.005
100,0.0511797955
101,0.005
102,0.005
103,0.02127361866
104,0.04397834312
105,0.005
106,0.0328384554999999
107,0.005
108,0.1276514543
109,0.1224988169
110,0.0978809034
111,0.005
112,0.1146659041
113,1.584398892
114,0.03974702725
115,0.005
116,0.005
117,0.005
118,0.0371189128
119,0.0386093979999999
120,0.0306211146999999
121,0.005
122,0.005
123,0.1041998906999999
124,0.037370024
125,0.005
126,0.005
127,0.005
128,0.03695516893
129,0.0592219696
130,0.2485917697
131,0.7591422143039999
132,0.005
133,0.01320439147
134,0.005
135,0.005
136,0.005
137,0.005
138,0.005
139,0.1683490467999999
140,0.3667061319999999
141,0.005
142,0.005
143,0.02115063039
144,0.13125652616
145,0.005
146,0.005
147,0.0821014092
148,0.005
149,0.005
150,0.005
151,0.005
152,0.005
153,0.005
154,0.0404942757
155,0.3130678595499999
156,0.0506134734
157,0.005
158,0.005
159,0.131659362
160,0.14753560445
161,0.005
162,0.0344682897
163,0.1384924768
164,0.200473353
165,0.0422593473
166,0.0802252524999999
167,0.005
168,0.3534278255099999
169,0.005
170,0.005
171,0.0436115834
172,0.0937351669999999
173,0.03211409023
174,0.005
175,0.0814398663999999
176,0.0345348626
177,0.005
178,0.005
179,0.20704661792
180,0.3215734749999999
181,0.005
182,0.005
183,0.005
184,0.005
185,0.4253325528
186,0.005
187,0.0348992251999999
188,0.2660880481
189,0.0397593770499999
190,0.005
191,0.1071080592
192,0.005
193,0.0491160833999999
194,0.005
195,0.005
196,0.005
197,0.005
198,0.0685279821
199,0.005
200,0.005
201,0.0711662251999999
202,0.005
203,0.005
204,0.005
205,0.005
206,0.02572911122
207,0.005
208,0.005
209,0.005
210,0.005
211,0.07209631923
212,0.1963200301
213,0.0940337135
214,0.005
215,0.0233544023
216,3.1882654213
217,0.005
218,0.1902310942899999
219,0.005
220,0.005
221,0.005
222,0.005
223,0.0538466224
224,0.0191692432399999
225,0.2772341074
226,0.28660869314
227,0.0308781681
228,0.0740515708
229,0.0375996044
230,0.005
231,0.005
232,0.03616734214
233,0.0421479382
234,0.005
235,0.0382359995999999
236,0.005
237,0.0876390415
238,0.005
239,0.01836619045
240,0.01640217797
241,0.005
242,0.005
243,0.26770927666
244,0.005
245,0.005
246,0.005
