feature,shap_importance
1,0.24802890082
2,0.05949658426
3,0.07074252018
4,0.10638923166
5,0.12239600022
6,0.09244908643
7,0.13909571777
8,0.05469969685
9,0.015994420794
10,0.00784813986
11,0.0
12,0.08704954679
13,0.0106132482599999
14,0.015085416704
15,0.0600034886699999
16,0.0
17,0.41319589974
18,0.1705840458999999
19,0.01905581236
20,0.0
21,0.0377345289
22,0.01627523476
23,0.0323034977899999
24,0.0
25,0.09548431669
26,0.04870705323
27,0.0
28,0.05010032763
29,0.0201293844
30,0.06009283852
31,0.03475340801
32,0.15228494067
33,0.03890534031
34,0.1205855849599999
35,0.0
36,0.5218842677100001
37,0.02723302792
38,0.11645466756
39,0.1134548145
40,0.35726368002
41,0.0
42,0.00664958493
43,0.02043053743
44,0.01599387054
45,0.0
46,0.0566199364999999
47,0.0810023515799999
48,0.05081743329
49,0.0
50,0.035633502
51,0.15196293157
52,0.0613063155999999
53,0.0466419736399999
54,0.01822150596
55,0.0
56,0.05591098877
57,0.02269680105
58,0.094826041
59,0.18326240908
60,0.0541916174
61,0.12449381603
62,0.0
63,0.05998292833
64,0.0813307719599999
65,0.042557919
66,0.06203810234
67,0.1534230904
68,0.0
69,0.13004440938
70,0.0
71,0.045280966135
72,0.011012610203
73,0.1156756474
74,0.0
75,0.0501432924
76,0.12900915613
77,0.0855060714999999
78,0.4316567845399999
79,0.0
80,0.0
81,0.06208257032
82,0.0
83,0.0
84,0.0310853204999999
85,0.4400012124199999
86,0.11223533418
87,0.0
88,0.0675137769499999
89,0.0
90,0.0840275478
91,0.0
92,0.02766612844
93,0.0
94,0.06804438897
95,0.029014189342
96,0.0
97,0.06155678023
98,0.0249223655
99,0.0452488313999999
100,0.00663123413
101,0.0
102,0.01221861784
103,0.0
104,0.0
105,0.1000724990799999
106,0.0
107,0.03253069542
108,0.0
109,0.16720136893
110,0.0794429194
111,0.0172086215
112,0.149868173
113,2.08243072186
114,0.0
115,0.00963665125
116,0.0146171987
117,0.0701831039
118,0.0174615197899999
119,0.0209416874299999
120,0.0
121,0.0
122,0.0784543603699999
123,0.09685894857
124,0.02695737396
125,0.0334775638999999
126,0.0
127,0.0
128,0.0
129,0.0
130,0.37529676697
131,0.5414039754000001
132,0.0
133,0.00800241878
134,0.0
135,0.04451477235
136,0.0213622035
137,0.01053676326
138,0.0
139,0.17219116313
140,0.23075856881
141,0.0
142,0.12136059588
143,0.0
144,0.1196014656259999
145,0.0
146,0.0
147,0.0
148,0.09454257205
149,0.0707202749099999
150,0.0
151,0.0
152,0.03857616339
153,0.05244321966
154,0.0284832881999999
155,0.2361331683699999
156,0.006782444
157,0.0185415877
158,0.0
159,0.0318243924999999
160,0.10407829515
161,0.03348538235
162,0.04031505952
163,0.12946347684
164,0.29055297121
165,0.02398324875
166,0.0
167,0.0
168,0.35539681
169,0.0
170,0.0
171,0.10048461569
172,0.0498962278
173,0.0272276887
174,0.0659186658799999
175,0.0608441126
176,0.04097238468
177,0.0274750950599999
178,0.0
179,0.22511066707
180,0.2167506159999999
181,0.0
182,0.0
183,0.0
184,0.0
185,0.2916256195
186,0.0
187,0.0
188,0.3203643527499999
189,0.0395047589999999
190,0.0
191,0.0597795315
192,0.0260799793
193,0.0
194,0.0
195,0.01963697724
196,0.0
197,0.0
198,0.00810225748
199,0.0
200,0.0
201,0.0819301083
202,0.042010857089
203,0.0
204,0.0
205,0.07438469703
206,0.03818066845
207,0.0
208,0.0
209,0.0067324176399999
210,0.0
211,0.0567162164
212,0.266817945
213,0.0296347617299999
214,0.0186347439
215,0.206993227911
216,2.12976362137
217,0.034749738
218,0.5333447625500001
219,0.0268270901599999
220,0.0
221,0.0
222,0.046055806855
223,0.01798033886
224,0.0
225,0.192720971
226,0.4304964242
227,0.033075445432
228,0.07513570825
229,0.02069174215
230,0.00811304225
231,0.0088407677715
232,0.04068828298
233,0.03272701224
234,0.01591421456
235,0.0
236,0.00334079766
237,0.06446266853
238,0.0
239,0.0
240,0.0
241,0.0197278445899999
242,0.01090389833
243,0.0
244,0.01482105933
245,0.012835250194
246,0.004028019332
